128 Forest; replaced with Forest
47140 Barret Wallace; replaced with Barret Wallace
33783 Yarok, the Desecrated; replaced with Yarok, the Desecrated
4303 Mage's Attendant; replaced with Mage's Attendant
22497 Smoke; replaced with Smoke
51418 Gerrard Capashen; replaced with Gerrard Capashen
14719 Savannah; replaced with Savannah
38367 Blur; replaced with Blur
46845 Frodo Baggins; replaced with Frodo Baggins
49540 Ashling, Rekindled // Ashling, Rimebound; replaced with Ashling, Rekindled // Ashling, Rimebound
22601 Malfegor; replaced with Malfegor
38627 Authority of the Consuls; replaced with Authority of the Consuls
33812 Descendants' Path; replaced with Descendants' Path
44184 Kothophed, Soul Hoarder; replaced with Kothophed, Soul Hoarder
45541 Flamekin Brawler; replaced with Flamekin Brawler
12950 In Too Deep; replaced with In Too Deep
56137 Flamewar, Brash Veteran // Flamewar, Streetwise Operative; replaced with Flamewar, Brash Veteran // Flamewar, Streetwise Operative
5409 Pandemonium; replaced with Pandemonium
36181 Tegwyll, Duke of Splendor; replaced with Tegwyll, Duke of Splendor
9344 Nashi, Moon Sage's Scion; replaced with Nashi, Moon Sage's Scion
8860 Raging River; replaced with Raging River
11850 Leyline of Anticipation; replaced with Leyline of Anticipation
37440 Nimbus Swimmer; replaced with Nimbus Swimmer
11963 Bard Class; replaced with Bard Class
40842 Hallowed Fountain; replaced with Hallowed Fountain
5496 Mox Amber; replaced with Mox Amber
12641 Alms Collector; replaced with Alms Collector
45809 Loot Dispute; replaced with Loot Dispute
24082 Patron of the Vein; replaced with Patron of the Vein
32284 Song of the Dryads; replaced with Song of the Dryads
35344 Shardless Agent; replaced with Shardless Agent
9613 Demonic Tutor; replaced with Demonic Tutor
29735 Mordant Dragon; replaced with Mordant Dragon
46134 Cavern Whisperer; replaced with Cavern Whisperer
368 Concealing Curtains // Revealing Eye; replaced with Concealing Curtains // Revealing Eye
6484 The Face of Boe; replaced with The Face of Boe
31491 Portent; replaced with Portent
22921 Wandering Archaic // Explore the Vastlands; replaced with Wandering Archaic // Explore the Vastlands
31125 Castle Vantress; replaced with Castle Vantress
5301 Vikya, Scorching Stalwart; replaced with Vikya, Scorching Stalwart
30790 Giant Adephage; replaced with Giant Adephage
4669 Imperial Recruiter; replaced with Imperial Recruiter
21453 Wall of Reverence; replaced with Wall of Reverence
26697 Mausoleum Guard; replaced with Mausoleum Guard
38674 Rocksteady, Mutant Marauder; replaced with Rocksteady, Mutant Marauder
769 Hit the Mother Lode; replaced with Hit the Mother Lode
225 Crackdown; replaced with Crackdown
5950 Shadowspear; replaced with Shadowspear
22414 Shadow, Mysterious Assassin; replaced with Shadow, Mysterious Assassin
18254 Barbara Wright; replaced with Barbara Wright
15158 Majestic Genesis; replaced with Majestic Genesis
7885 Massacre Girl; replaced with Massacre Girl
36457 Imminent Doom; replaced with Imminent Doom
22842 Madame Vastra; replaced with Madame Vastra
13410 Keeper of Keys; replaced with Keeper of Keys
56919 Savannah; replaced with Savannah
37349 Inferno of the Star Mounts; replaced with Inferno of the Star Mounts
21815 Satoru Umezawa; replaced with Satoru Umezawa
47624 Nine Lives; replaced with Nine Lives
49450 Jenova, Ancient Calamity; replaced with Jenova, Ancient Calamity
35345 Mana-Charged Dragon; replaced with Mana-Charged Dragon
5923 Murderous Redcap; replaced with Murderous Redcap
31406 Scythe Specter; replaced with Scythe Specter
30488 Militia Bugler; replaced with Militia Bugler
17199 Recon Craft Theta; replaced with Recon Craft Theta
30254 Mystic Reflection; replaced with Mystic Reflection
6681 Nimbus Naiad; replaced with Nimbus Naiad
1551 Dalek Drone; replaced with Dalek Drone
38172 Armor of Shadows; replaced with Armor of Shadows
51967 Isildur's Fateful Strike; replaced with Isildur's Fateful Strike
41292 Wellwisher; replaced with Wellwisher
42434 Aladdin's Lamp; replaced with Aladdin's Lamp
43672 Tiamat; replaced with Tiamat
12157 Conduit of Storms // Conduit of Emrakul; replaced with Conduit of Storms // Conduit of Emrakul
41175 Shreds of Sanity; replaced with Shreds of Sanity
16368 Buried Alive; replaced with Buried Alive
15852 Okk; replaced with Okk
52865 Whiptail Wurm; replaced with Whiptail Wurm
7703 Reckless Rage; replaced with Reckless Rage
22916 Circle of Protection: Artifacts; replaced with Circle of Protection: Artifacts
36380 Parallax Wave; replaced with Parallax Wave
20350 The Great Henge; replaced with The Great Henge
42954 Swiftblade Vindicator; replaced with Swiftblade Vindicator
5651 Starfield Mystic; replaced with Starfield Mystic
888 Pharika, God of Affliction; replaced with Pharika, God of Affliction
46859 Ebondeath, Dracolich; replaced with Ebondeath, Dracolich
57242 Ghitu Fire; replaced with Ghitu Fire
4851 Hour of Reckoning; replaced with Hour of Reckoning
31408 Riftsweeper; replaced with Riftsweeper
55135 Season of Loss; replaced with Season of Loss
32953 Pile On; replaced with Pile On
19314 Swarm of Rats; replaced with Swarm of Rats
50356 God-Eternal Bontu; replaced with God-Eternal Bontu
18359 Power Leak; replaced with Power Leak
17140 Elspeth, Knight-Errant; replaced with Elspeth, Knight-Errant
17372 Utopia Mycon; replaced with Utopia Mycon
1026 Rage Weaver; replaced with Rage Weaver
4723 Herald of Anguish; replaced with Herald of Anguish
40954 Halo Fountain; replaced with Halo Fountain
32251 Seal of the Guildpact; replaced with Seal of the Guildpact
29872 Reshape the Earth; replaced with Reshape the Earth
20325 Syphon Mind; replaced with Syphon Mind
7411 Burning of Xinye; replaced with Burning of Xinye
11758 Bygone Bishop; replaced with Bygone Bishop
37431 Grim Bounty; replaced with Grim Bounty
421 Delete; replaced with Delete
42034 Torgaar, Famine Incarnate; replaced with Torgaar, Famine Incarnate
23107 Aven Courier; replaced with Aven Courier
17742 The Kami War // O-Kagachi Made Manifest; replaced with The Kami War // O-Kagachi Made Manifest
52454 Deny Existence; replaced with Deny Existence
38157 Drake Hatcher; replaced with Drake Hatcher
1048 Shivan Gorge; replaced with Shivan Gorge
31534 Thistledown Liege; replaced with Thistledown Liege
49888 Gastal Raider; replaced with Gastal Raider
30675 Caretaker's Talent; replaced with Caretaker's Talent
2481 Blot Out the Sky; replaced with Blot Out the Sky
41659 Reset; replaced with Reset
12559 Elvish Archdruid; replaced with Elvish Archdruid
21623 Day of Destiny; replaced with Day of Destiny
28229 Underground Mortuary; replaced with Underground Mortuary
36869 Ominous Asylum; replaced with Ominous Asylum
46383 Tamiyo's Journal; replaced with Tamiyo's Journal
50693 Smuggler's Copter // Smuggler's Copter; replaced with Smuggler's Copter // Smuggler's Copter
14202 Thousand-Year Elixir; replaced with Thousand-Year Elixir
12087 Angel of Finality; replaced with Angel of Finality
20816 Retreat to Emeria; replaced with Retreat to Emeria
16365 Vine Trellis; replaced with Vine Trellis
35284 Crown of Gondor; replaced with Crown of Gondor
28730 Banquet Guests; replaced with Banquet Guests
10408 Cityscape Leveler; replaced with Cityscape Leveler
40379 Metamorphosis; replaced with Metamorphosis
39128 Thundermare; replaced with Thundermare
53317 Summary Dismissal; replaced with Summary Dismissal
13826 Omnath, Locus of the Roil; replaced with Omnath, Locus of the Roil
47090 Horn of Gondor; replaced with Horn of Gondor
41352 Living End; replaced with Living End
29876 Power Artifact; replaced with Power Artifact
18082 Connive // Concoct; replaced with Connive // Concoct
51564 Zilortha, Strength Incarnate; replaced with Zilortha, Strength Incarnate
27611 Night of Souls' Betrayal; replaced with Night of Souls' Betrayal
23158 Overwhelming Denial; replaced with Overwhelming Denial
55040 Walk the Aeons; replaced with Walk the Aeons
8096 Cemetery Reaper; replaced with Cemetery Reaper
33919 The Endstone; replaced with The Endstone
36117 Damnation; replaced with Damnation
37407 Shrieking Drake; replaced with Shrieking Drake
29516 Undermountain Adventurer; replaced with Undermountain Adventurer
10644 The Ninth Doctor; replaced with The Ninth Doctor
46159 Ayara, Widow of the Realm // Ayara, Furnace Queen; replaced with Ayara, Widow of the Realm // Ayara, Furnace Queen
41009 Verdant Command; replaced with Verdant Command
6287 Marble Diamond; replaced with Marble Diamond
41122 Shadowblood Ridge; replaced with Shadowblood Ridge
11328 Call to Mind; replaced with Call to Mind
46679 Dragon Broodmother; replaced with Dragon Broodmother
28007 Enduring Innocence; replaced with Enduring Innocence
28401 Incubation Druid; replaced with Incubation Druid
24791 Allure of the Unknown; replaced with Allure of the Unknown
21613 Leap; replaced with Leap
52952 Shelob's Ambush; replaced with Shelob's Ambush
31968 Territory Forge; replaced with Territory Forge
46547 Saproling Burst; replaced with Saproling Burst
531 Flamescroll Celebrant // Revel in Silence; replaced with Flamescroll Celebrant // Revel in Silence
43804 Species Specialist; replaced with Species Specialist
39812 Rootweaver Druid; replaced with Rootweaver Druid
19373 Daemogoth Titan; replaced with Daemogoth Titan
13757 Mirrorpool; replaced with Mirrorpool
55536 Repurposing Bay; replaced with Repurposing Bay
5986 Wizard's Spellbook; replaced with Wizard's Spellbook
386 Norman Osborn // Green Goblin; replaced with Norman Osborn // Green Goblin
18022 Rain of Daggers; replaced with Rain of Daggers
7099 Danitha Capashen, Paragon; replaced with Danitha Capashen, Paragon
11794 Cemetery Illuminator; replaced with Cemetery Illuminator
17283 Glacierwood Siege; replaced with Glacierwood Siege
26327 Ashling, Flame Dancer; replaced with Ashling, Flame Dancer
52546 Rainbow Vale; replaced with Rainbow Vale
801 Fleetfoot Dancer; replaced with Fleetfoot Dancer
28291 Open the Way; replaced with Open the Way
15587 Pavel Maliki; replaced with Pavel Maliki
20218 Eternal of Harsh Truths; replaced with Eternal of Harsh Truths
901 Fallowsage; replaced with Fallowsage
20248 Mishra's Foundry; replaced with Mishra's Foundry
4237 Olivia, Crimson Bride; replaced with Olivia, Crimson Bride
55578 Ghave, Guru of Spores; replaced with Ghave, Guru of Spores
24162 Harmonic Prodigy; replaced with Harmonic Prodigy
54148 Boon-Bringer Valkyrie; replaced with Boon-Bringer Valkyrie
45325 Needle Spires; replaced with Needle Spires
27347 Haunting Voyage; replaced with Haunting Voyage
40750 Nightguard Patrol; replaced with Nightguard Patrol
11223 Sinew Dancer; replaced with Sinew Dancer
18344 Sword of the Paruns; replaced with Sword of the Paruns
18657 Angry Rabble; replaced with Angry Rabble
2977 Arcane Bombardment; replaced with Arcane Bombardment
26598 Aura Shards; replaced with Aura Shards
46658 Divining Witch; replaced with Divining Witch
51983 Zurgo Bellstriker; replaced with Zurgo Bellstriker
26232 Cruelclaw's Heist; replaced with Cruelclaw's Heist
32596 Valentin, Dean of the Vein // Lisette, Dean of the Root; replaced with Valentin, Dean of the Vein // Lisette, Dean of the Root
20460 Spectral Sliver; replaced with Spectral Sliver
23989 Villainous Wealth; replaced with Villainous Wealth
20625 Hellrider; replaced with Hellrider
30948 Drown in the Loch; replaced with Drown in the Loch
56526 Dauthi Warlord; replaced with Dauthi Warlord
26418 Oskar, Rubbish Reclaimer; replaced with Oskar, Rubbish Reclaimer
19503 Giver of Runes; replaced with Giver of Runes
17409 Leyline Immersion; replaced with Leyline Immersion
40097 Coral Helm; replaced with Coral Helm
50151 Mithril Coat; replaced with Mithril Coat
46233 Primal Growth; replaced with Primal Growth
13898 Deceit; replaced with Deceit
44108 Overlord of the Floodpits; replaced with Overlord of the Floodpits
49427 Grim Lavamancer; replaced with Grim Lavamancer
35957 Pyromancer's Assault; replaced with Pyromancer's Assault
9956 Felidar Retreat; replaced with Felidar Retreat
17002 Simian Simulacrum; replaced with Simian Simulacrum
29960 Hua Tuo, Honored Physician; replaced with Hua Tuo, Honored Physician
47603 Dictate of Kruphix; replaced with Dictate of Kruphix
11041 Into the Pit; replaced with Into the Pit
36632 Stomping Ground; replaced with Stomping Ground
35645 Cunning Rhetoric; replaced with Cunning Rhetoric
39986 Manifold Mouse; replaced with Manifold Mouse
17550 Hazardous Conditions; replaced with Hazardous Conditions
28212 Kellan Joins Up; replaced with Kellan Joins Up
25402 Aberrant Researcher // Perfected Form; replaced with Aberrant Researcher // Perfected Form
5410 Aether Refinery; replaced with Aether Refinery
13527 Loran of the Third Path; replaced with Loran of the Third Path
27900 Umbral Mantle; replaced with Umbral Mantle
16846 Gideon's Phalanx; replaced with Gideon's Phalanx
4728 Magnivore; replaced with Magnivore
16032 Hobgoblin Captain; replaced with Hobgoblin Captain
36614 Fetid Heath; replaced with Fetid Heath
36442 Zada, Hedron Grinder; replaced with Zada, Hedron Grinder
56127 Bramblewood Paragon; replaced with Bramblewood Paragon
36298 Throat Slitter; replaced with Throat Slitter
14009 Magus of the Moon; replaced with Magus of the Moon
43815 Field Creeper; replaced with Field Creeper
52954 Varina, Lich Queen; replaced with Varina, Lich Queen
5472 Sanar, Innovative First-Year; replaced with Sanar, Innovative First-Year
47537 Scholarship Sponsor; replaced with Scholarship Sponsor
42819 Kroxa, Titan of Death's Hunger; replaced with Kroxa, Titan of Death's Hunger
30208 Vraska, Relic Seeker; replaced with Vraska, Relic Seeker
50707 Tibalt's Trickery; replaced with Tibalt's Trickery
7601 Treeshaker Chimera; replaced with Treeshaker Chimera
513 Word of Binding; replaced with Word of Binding
3122 Changeling Titan; replaced with Changeling Titan
46600 Doomsday Confluence; replaced with Doomsday Confluence
5977 Living Lands; replaced with Living Lands
8507 Wild Ox; replaced with Wild Ox
9327 Wall of Wonder; replaced with Wall of Wonder
46429 Thundermaw Hellkite; replaced with Thundermaw Hellkite
16016 Gríma Wormtongue; replaced with Gríma Wormtongue
15871 Salvage Slasher; replaced with Salvage Slasher
20913 Sanctum Prelate; replaced with Sanctum Prelate
48896 Starlit Angel; replaced with Starlit Angel
1186 Sol Ring // Sol Ring; replaced with Sol Ring // Sol Ring
34580 Lantern of Insight; replaced with Lantern of Insight
37498 Thalia, Heretic Cathar; replaced with Thalia, Heretic Cathar
7262 Villainous Wrath; replaced with Villainous Wrath
9338 Thwart; replaced with Thwart
25713 Tobias Andrion; replaced with Tobias Andrion
34762 Honden of Cleansing Fire; replaced with Honden of Cleansing Fire
45075 Marvin, Murderous Mimic; replaced with Marvin, Murderous Mimic
32372 Lost Soul; replaced with Lost Soul
8593 Falkenrath Pit Fighter; replaced with Falkenrath Pit Fighter
41129 Subjugator Angel; replaced with Subjugator Angel
21672 Jungle Lion; replaced with Jungle Lion
20637 Izoni, Thousand-Eyed; replaced with Izoni, Thousand-Eyed
23223 Stone of Erech; replaced with Stone of Erech
45261 Nullpriest of Oblivion; replaced with Nullpriest of Oblivion
6698 Skeleton Shard; replaced with Skeleton Shard
52596 Sundown Pass; replaced with Sundown Pass
40428 Spore Frog; replaced with Spore Frog
14481 Beacon of Tomorrows; replaced with Beacon of Tomorrows
28797 Joven's Ferrets; replaced with Joven's Ferrets
30303 Flare of Duplication; replaced with Flare of Duplication
28774 Blight Titan; replaced with Blight Titan
29510 Resplendent Angel; replaced with Resplendent Angel
27267 Guiltfeeder; replaced with Guiltfeeder
14293 Starke of Rath; replaced with Starke of Rath
40178 Beacon of Unrest; replaced with Beacon of Unrest
19987 Winds of Abandon; replaced with Winds of Abandon
56534 Lookout's Dispersal; replaced with Lookout's Dispersal
59041 Goblin Spelunkers; replaced with Goblin Spelunkers
16221 Cleansing Nova; replaced with Cleansing Nova
15688 Ruinous Intrusion; replaced with Ruinous Intrusion
